MDL,Attorney,Gold_Roles,LLM_Roles,Flag,LLM_Added,LLM_Missed
1431,Adam Hoeflich,LocalCounsel,Communications,disjoint,Communications,LocalCounsel
1431,Andy Birchfield,Management,Management,agree,,
1431,Charles Zimmerman,LeadCounsel,LeadCounsel; Management,llm_added_role,Management,
1431,Dale Larson,Communications,Communications,agree,,
1431,"Daniel E. Becnel, Jr.",,Management,llm_only_not_in_gold,Management,
1431,Daniel Bencel,Management,,gold_only_missed_by_llm,,Management
1431,Dianne Nast,Management,Management,agree,,
1431,Don Barrett,Management,Management,agree,,
1431,Don Hildre,Management,Management,agree,,
1431,Elizabeth Cabraser,Management,Management,agree,,
1431,Fred Magaziner,Communications; LeadCounsel,Communications; LeadCounsel,agree,,
1431,Frederic S. Fox,,Management,llm_only_not_in_gold,Management,
1431,Fredrick Fox,Management,,gold_only_missed_by_llm,,Management
1431,Hope Freiwald,LeadCounsel; LocalCounsel,Communications; LeadCounsel,partial_disagree,Communications,LocalCounsel
1431,James Dugan,Management,Management,agree,,
1431,John Climaco,Management,Management,agree,,
1431,Kenneth Moll,Management,Management,agree,,
1431,Michael Gallagher,Management,Management,agree,,
1431,Paul Geller,Management,Management,agree,,
1431,Peter Sipkins,LocalCounsel,Communications; LocalCounsel,llm_added_role,Communications,
1431,Philip Beck,LeadCounsel,LeadCounsel,agree,,
1431,Richard Lockridge,LeadCounsel,LeadCounsel; Management,llm_added_role,Management,
1431,Robert Limbacher,LeadCounsel; LocalCounsel,Communications; LeadCounsel,partial_disagree,Communications,LocalCounsel
1431,Samuel Heins,Management,Management,agree,,
1431,Scott Smith,LeadCounsel; LocalCounsel,Communications; LeadCounsel,partial_disagree,Communications,LocalCounsel
1431,Stanley Chesley,Management,Management,agree,,
1431,Susan Weber,LocalCounsel,Communications,disjoint,Communications,LocalCounsel
1431,Tracy Van Steenburgh,LeadCounsel; LocalCounsel,Communications; LeadCounsel,partial_disagree,Communications,LocalCounsel
1431,Turner Branch,Management,Management,agree,,
1431,W. Singleton,Management,Management,agree,,
1431,Walter Dumas,Management,Management,agree,,
1431,Will Kemp,Management,Management,agree,,
1566,None None,,ClassCounsel,llm_only_not_in_gold,ClassCounsel,
1566,Blake Harper,LeadCounsel,Communications; LeadCounsel,llm_added_role,Communications,
1566,Craig Corbitt,LeadCounsel,LeadCounsel,agree,,
1566,Marc Edelson,LeadCounsel,Communications; LeadCounsel,llm_added_role,Communications,
1566,Michael Boni,LeadCounsel,Communications; LeadCounsel,llm_added_role,Communications,
1566,Susan Kupfer,LeadCounsel,LeadCounsel,agree,,
1570,Allan Gerson,,Management,llm_only_not_in_gold,Management,
1570,Andrea Bierstein,Management,Management,agree,,
1570,Andrew Maloney,Management,Management,agree,,
1570,Bob Haefele,,Management,llm_only_not_in_gold,Management,
1570,Dennis Pantazis,Management,Management,agree,,
1570,Donald Migliori,Management,Management,agree,,
1570,Elliot Feldman,Management,Management,agree,,
1570,"Frank Granito, III",,Management,llm_only_not_in_gold,Management,
1570,Harry Huge,Management,Management,agree,,
1570,J. Tarbutton,Communications; Management,Communications; Management,agree,,
1570,Jack Cordray,,Management,llm_only_not_in_gold,Management,
1570,James Kreindler,Management,Management,agree,,
1570,Jayne Conroy,Management,Management,agree,,
1570,J.D. Lee,Management,Management,agree,,
1570,Jodi Flowers,Management,Management,agree,,
1570,Joshua Ambush,Management,Management,agree,,
1570,Justin Green,Communications; Management,Communications; Management,agree,,
1570,Ken Nolan,,Management,llm_only_not_in_gold,Management,
1570,Marc Moller,Management,Management,agree,,
1570,Marc D. Powers,,LeadCounsel,llm_only_not_in_gold,LeadCounsel,
1570,Mark Mullen,Management,Management,agree,,
1570,Michael Elsner,,Management,llm_only_not_in_gold,Management,
1570,Michel Baumeister,,Management,llm_only_not_in_gold,Management,
1570,Paul Hanley,Communications; Management,,gold_only_missed_by_llm,,Communications; Management
1570,"Paul J. Hanly, Jr.",,Communications; Management,llm_only_not_in_gold,Communications; Management,
1570,Richard Hailey,Management,Management,agree,,
1570,Ronald Motley,Management,Management,agree,,
1570,Sean Carter,Management,Management,agree,,
1570,Stephen Cozen,Management,Management,agree,,
1570,Thea Capone,,Management,llm_only_not_in_gold,Management,
1570,Thomas Mellon,Management,Management,agree,,
1570,Timothy B. Mills,,LeadCounsel,llm_only_not_in_gold,LeadCounsel,
1663,None None,,Communications; LeadCounsel; Management,llm_only_not_in_gold,Communications; LeadCounsel; Management,
1663,Edith Kallas,Communications,Communications,agree,,
1663,Jay Auslander,Communications,,gold_only_missed_by_llm,,Communications
1700,Chris Hollinger,Communications,Communications,agree,,
1700,J. Rudd,Management,Management,agree,,
1700,Jerald Cureton,Management,Management,agree,,
1700,John H. Beisner,,LeadCounsel,llm_only_not_in_gold,LeadCounsel,
1700,John Hamilton,Communications,Communications,agree,,
1700,Jordan Lewis,Management,Management,agree,,
1700,Lynn Faris,Communications; LeadCounsel,Communications; LeadCounsel; Management,llm_added_role,Management,
1700,Robert Harwood,Communications; LeadCounsel,Communications; LeadCounsel; Management,llm_added_role,Management,
1700,Robert Schwartz,Communications,Communications; LeadCounsel,llm_added_role,LeadCounsel,
1700,Susan Ellingstad,Communications; LeadCounsel,Communications; LeadCounsel; Management,llm_added_role,Management,
1700,Thomas J. Brunner,,Communications,llm_only_not_in_gold,Communications,
