Name_A,Name_B,same,confidence,merged
James C. Percy,Jamie Mauhay Powers,False,high,False
Ben Barnow,Benjamin Brown,False,high,False
John Smith,John M. Sandy,False,high,False
Jack Smith,John M. Sandy,False,high,False
Roger Smith,W. Roger Smith,True,high,True
W. Roger Smith,William Smith,False,low,False
Jay Sever,Jay Shapiro,False,high,False
Christopher G. Hayes,C. Erik Hawes,False,high,False
C. Erik Hawes,Connor Hayes,False,high,False
M. Graham,Stephen Gorny,False,high,False
Marc Moller,Mark Mueller,False,high,False
E. Powell Miller,Powell Miller,True,high,True
E. Powell Miller,E. Powell Miller,True,high,True
Paul Hanley,Paul Hanly,True,high,True
J. Rudd,Julia Roth,False,high,False
Peter Burke,Peter W. Burg,False,high,False
Mike Brock,Michael S. Burg,False,high,False
Mike Brock,Michael Berg,False,high,False
Michael S. Burg,Michael Berg,False,high,False
Anne Andrews,A. James Andrews,False,high,False
William H. Anderson,William Andrichik,False,high,False
James McDonough,J. Mostyn,False,high,False
J. Mostyn,Christopher J. McDonald,False,high,False
Steven Marks,Stephen Morrissey,False,high,False
Jon Conlin,Jan Conlin,False,high,False
Richard Ruoco,Richard Paul Rouco,True,medium,True
Andrew Gordon,Andrew Gardner,False,high,False
Michael Boni,Michael Baum,False,high,False
J. Donohue,Joseph Dunn,False,high,False
J. Donohue,Brian J. Dunne,False,high,False
Joe Zanies,Joseph Zonies,True,high,True
Adam Moskowtiz,Adam Moskowitz,True,high,True
David Langfitt,Dave Langevin,False,high,False
Joseph B. Kenney,Joseph H. Kanee,False,high,False
Brent Wisner,Robert Brent Wisner,True,high,True
R. Brent Wisner,Robert Brent Wisner,True,high,True
Jennifer Moore,J. Mark Moore,False,high,False
Jennifer Moore,J. Andrew Meyer,False,high,False
Stephen Murray,Steven R. Maher,False,high,False
Stephen Murray,Stephen Maher,False,high,False
J. Mark Moore,J. Andrew Meyer,False,high,False
Don Barrett,D. Dorian Britt,False,high,False
Mindee Reuben,Mindee Rueben,True,medium,True
Marc Williams,Marc A. Wallenstein,False,high,False
Daniel Mason,Daniel J. Mogin,False,high,False
Richard McCune,R. Laurence Macon,False,high,False
Rhett McSweeney,R. Laurence Macon,False,high,False
Randi McGinn,R. Laurence Macon,False,high,False
Steven Bizar,Stephen Basser,False,high,False
R. Richards,Robert Rikard,False,high,False
J. Richards,Jeffrey C. Rickard,False,high,False
J. Richards,Jason Richards,False,low,False
J. Richards,Joyce Chambers Reichard,False,high,False
J. Gerard Stranch IV,John Strongman,False,high,False
J. Gerard Stranch IV,Jonathan Stern,False,high,False
"A.
 Jones",Alyson Jones,False,low,False
Larence Jones,Lawrence Jones,True,medium,True
Rhon Jones,R. Andrew Jones,False,low,False
Anne Callis,Ann Callis,True,medium,True
Jerold Parker,Jerrold Parker,True,high,True
Richard Cornfeld,R. Seth Crompton,False,high,False
Bill Robins,William Robinson,False,high,False
Dave Matthews,D. Mathews,False,low,False
Dave Matthews,David Mathews,False,low,False
D. Mathews,David Mathews,False,low,False
D. Mathews,David Matthews,False,high,False
