Name_A,Firms_A,Name_B,Firms_B,Reason
James C. Percy,,Jamie Mauhay Powers,KERSHAW TALLEY BARLOW,fuzzy surname + first nick (no shared firm/MDL) | LLM: distinct (conf high)
Peter H. Burke,"Whatley Drake, LLC",Peter W. Burg,"Burg Simpson Eldredge Hersh Jardine, P.C.",fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
Frank Woodson,"Beasley, Allen, Crow, Methvin, Portis & Miles, PC; BEASLEY, ALLEN, CROW, METHVIN, PORTIS & MILES, P.C.",Frank Watson,"Watson Burns, PLLC",fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
James D. Young,"OFFICE OF THE ATTORNEY GENERAL, STATE OF FLORIDA; Morgan & Morgan",J. Rutledge Young III,"Duffy & Young, LLC",exact surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
Steven R. Maher,THE MAHER LAW FIRM,Stephen B. Murray,Murray Law Firm,fuzzy surname + first nick (no shared firm/MDL) | LLM: distinct (conf high)
Stephen Maher,Maher Law Firm,Stephen B. Murray,Murray Law Firm,fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
J. Mark Moore,Spiro Moore LLP,J. Andrew Meyer,,fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
J. Mark Moore,Spiro Moore LLP,Jennifer Moore,,exact surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
J. Andrew Meyer,,Jennifer Moore,,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
Mark C. Schultz,"COHEN, PLACITELLA & ROTH",Marc M. Seltzer,Susman Godfrey L.L.P; Susman Godfrey L.L.P.,fuzzy surname + first edit1 (no shared firm/MDL) | LLM: distinct (conf high)
J. Michael Vaughan,"Walters Bender Strohbehn & Vaughan, P.C.",John Vecchione,"THE LAW FIRM OF BART T. VALAD, PLLC",fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
J. Michael Vaughan,"Walters Bender Strohbehn & Vaughan, P.C.",Jay Vaughn,"Schachter, Hendy & Johnson, PSC",fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
Ben Barnow,"Barnow and Associates, P.C.; Barnow & Associates, P.C.",Benjamin Brown,,fuzzy surname + first nick (no shared firm/MDL) | LLM: distinct (conf low)
Don Barrett,"Barrett Law Office, P.A.; Barrett Law Group, PA",D. Dorian Britt,"Tate Law Group, LLC",fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
Thomas Cartmell,"Wagstaff & Cartmell; Wagstaff & Cartmell, LLP",Thomas R. Curtin,"Graham Curtin, P.A.; MCELROY, DEUTSCH, MULVANEY & CARPENTER, LLP",fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
Amy W. Schulman,DLA Piper US LLP,"A. G. Solomons, III",Speights and Runyan,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
W. Roger Smith,Beasley Allen,William Smith,,exact surname + first initial (no shared firm/MDL) | LLM: distinct (conf low)
D. Michael Campbell,Campbell Law,Douglas Campbell,,exact surname + first initial (no shared firm/MDL) | LLM: distinct (conf low)
James M. Evangelista,"Harris Penn Lowry, LLP; Harris Penn Lowry LLP",James Eubank,"Beasley, Allen, Crow, Methvin, Portis & Miles, P.C.",fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
