Name_A,Firms_A,Name_B,Firms_B,Reason
James C. Percy,,Jamie Mauhay Powers,KERSHAW TALLEY BARLOW,fuzzy surname + first nick (no shared firm/MDL) | LLM: distinct (conf high)
Ben Barnow,"Barnow & Associates; Barnow and Associates, P.C.",Benjamin Brown,,fuzzy surname + first nick (no shared firm/MDL) | LLM: distinct (conf high)
John Smith,Flaherty Sensabaugh Bonasso PLLC,John M. Sandy,"SANDY LAW FIRM, P.C.",fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
Jack Smith,,John M. Sandy,"SANDY LAW FIRM, P.C.",fuzzy surname + first nick (no shared firm/MDL) | LLM: distinct (conf high)
W. Roger Smith,Beasley Allen,William Smith,,exact surname + first initial (no shared firm/MDL) | LLM: distinct (conf low)
Jay Sever,"Phelps Dunbar, LLP",Jay Shapiro,"Steams Weaver Miller Weissler Alhadeff & Sitterson, P.A.",fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
Christopher G. Hayes,,C. Erik Hawes,,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
C. Erik Hawes,,Connor Hayes,Lynch Carpenter LLP,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
M. Graham,"Grant & Eisenhofer, P.A.",Stephen Gorny,"the Gorny Law Firm, LC",fuzzy surname + first subset (no shared firm/MDL) | LLM: distinct (conf high)
Marc Moller,Kreinder & Kreindler LLP; Kreindler & Kreindler,Mark Mueller,MUELLER LAW; Mueller Law PLLC,fuzzy surname + first edit1 (no shared firm/MDL) | LLM: distinct (conf high)
J. Rudd,"Zimmerman Reed, LLP; Zimmerman Reed LLP",Julia Roth,,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
Peter Burke,"Whatley Drake, LLC",Peter W. Burg,"Burg Simpson Eldredge Hersh Jardine, P.C.",fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
Mike Brock,Kirkland & Ellis LLP,Michael S. Burg,"Burg Simpson Eldredge Hersh & Jardine; Burg, Simpson, Eldredge, Hersh & Jardine",fuzzy surname + first nick (no shared firm/MDL) | LLM: distinct (conf high)
Mike Brock,Kirkland & Ellis LLP,Michael Berg,Law Offices of Michael S. Berg,fuzzy surname + first nick (no shared firm/MDL) | LLM: distinct (conf high)
Michael S. Burg,"Burg Simpson Eldredge Hersh & Jardine; Burg, Simpson, Eldredge, Hersh & Jardine",Michael Berg,Law Offices of Michael S. Berg,fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
Anne Andrews,"Andrews Thornton Higgins Razmara, LLP; Andrews & Thorton",A. James Andrews,,exact surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
William H. Anderson,"Cuneo Gilbert & LaDuca, LLP",William Andrichik,,fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
James McDonough,Henninger Garrison Davis LLC,J. Mostyn,Mostyn Law,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
J. Mostyn,Mostyn Law,Christopher J. McDonald,LABATON SUCHAROW LLP,fuzzy surname + first subset (no shared firm/MDL) | LLM: distinct (conf high)
Steven Marks,"Podhurst Orseck, P.A.",Stephen Morrissey,Susman Godfrey LLP,fuzzy surname + first nick (no shared firm/MDL) | LLM: distinct (conf high)
Jon Conlin,"Cory Watson, P.C.",Jan Conlin,Ciresi Conlin LLP,exact surname + first edit1 (no shared firm/MDL) | LLM: distinct (conf high)
Andrew Gordon,"Paul, Weiss, Rifkind, Wharton &
Garrison LLP",Andrew Gardner,,fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
Michael Boni,"Boni & Zack LLC; Kohn, Swift & Graf, P.C.",Michael Baum,Baum Hedlund Aristei and Goldman,fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
J. Donohue,Holland & Knight LLP,Joseph Dunn,,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
J. Donohue,Holland & Knight LLP,Brian J. Dunne,Bathaee Dunne LLP,fuzzy surname + first subset (no shared firm/MDL) | LLM: distinct (conf high)
David Langfitt,Locks Law Firm,Dave Langevin,McSweeney/Langevin,fuzzy surname + first nick (no shared firm/MDL) | LLM: distinct (conf high)
Joseph B. Kenney,Chimicles & Tikellis LLP,Joseph H. Kanee,MARCUS & ZELMAN LLC,fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
Jennifer Moore,"GROSSMAN & MOORE, PLLC",J. Mark Moore,Spiro Moore LLP,exact surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
Jennifer Moore,"GROSSMAN & MOORE, PLLC",J. Andrew Meyer,,fuzzy surname + first initial (no shared firm/MDL) | LLM: distinct (conf high)
Stephen Murray,MURRAY LAW FIRM; Murray Law Firm,Steven R. Maher,THE MAHER LAW FIRM,fuzzy surname + first nick (no shared firm/MDL) | LLM: distinct (conf high)
Stephen Murray,MURRAY LAW FIRM; Murray Law Firm,Stephen Maher,Maher Law Firm,fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
J. Mark Moore,Spiro Moore LLP,J. Andrew Meyer,,fuzzy surname + first exact (no shared firm/MDL) | LLM: distinct (conf high)
