Firm_ID,Canonical_Firm,AKA_1,AKA_2,AKA_3,Variants_Merged,N_MDLs,N_Mentions,MDLs
F0001,Cohen Milstein Sellers & Toll PLLC,"Cohen, Milstein, Hausfeld & Toll, P.L.L.C.","Cohen, Milstein, Hausfeld & Toll P.L.L.C.","COHEN, MILSTEIN, HAUSFELD & TOLL, P.L.L.C.",8,36,88,"623, 1656, 1658, 1682, 1684, 1717, 1768, 1775, 1793, 1826, 1854, 1862, 1895, 1933, 1935, 1942, 1950, 2017, 2063, 2109, 2213, 2293, 2409, 2471, 2508, 2521, 2540, 2583, 2617, 2668, 2972, 3062, 3083, 3113, 3144, 3148"
F0002,"Lieff Cabraser Heimann & Bernstein, LLP","Lieff, Cabraser, Heimann & Bernstein, LLP","LIEFF CABRASER HEIMANN & BERNSTEIN, LLP","Lieff, Cabraser, Heimann & Bernstein",7,33,72,"1657, 1708, 1715, 1742, 1785, 1791, 1827, 1905, 1914, 2001, 2143, 2223, 2269, 2284, 2299, 2302, 2335, 2416, 2481, 2617, 2905, 2938, 2996, 3014, 3026, 3035, 3051, 3071, 3078, 3084, 3089, 3108, 65000"
F0003,"Schiffrin Barroway Topaz & Kessler, LLP","Barroway Topaz Kessler Meltzer & Check, LLP",Barroway Topaz Kessler Meltzer & Check LLP,"Schiffrin & Barroway, LLP",6,11,22,"1656, 1658, 1708, 1725, 1807, 1963, 1989, 2003, 2025, 2027, 2058"
F0004,"Bartimus, Frickleton, Robertson & Gorny, P.C.","Bartimus, Frickleton, Robertson & Gorny P.C.","Bartimus Frickleton Robertson & Gorny, P.C.","BARTIMUS, FRICKLETON, ROBERTSON & GORNY, P.C.",6,5,12,"1907, 2147, 2314, 2358, 2443"
F0005,Anapol Weiss,"Anapol, Schwartz, Weiss, Cohan, Feldman and Smalley, P.C.",Anapol Schwartz Weiss Cohan Feldman & Smalley P.C.,"Anapol, Schwartz, Weiss, Cohan, Feldman & Smalley, P.C.",5,9,12,"1657, 1708, 1763, 1842, 1928, 2924, 2973, 3026, 3140"
F0006,"Climaco, Wilcox, Peca, Tarantino & Garofoli Co., L.P.A.","Climaco, Wilcox, Peca, Tarantino & Garofoli Co., LPA","Climaco, Lefkowitz, Peca, Wilcox & Garofoli Co., L.P.A.","Climaco, Lefkowitz, Peca, Wilxcox & Garofoli Co., LPA",5,8,8,"1708, 1968, 2066, 2199, 2220, 2223, 2299, 2333"
F0007,"Schlicter Board & Denton, LLP",Schlicter Bogard & Denton,"Schlichter, Bogard & Denton",Schlichter Bogart & Denton,5,5,8,"1742, 1909, 2973, 3026, 3092"
F0008,"Pearson, Simon & Warshaw, LLP","Pearson, Simon, Warshaw & Penny, LLP","Pearson, Simon, Soter, Warshaw & Penny, LLP","Pearson Warshaw, LLP",5,18,56,"1822, 1827, 1972, 1996, 2143, 2186, 2196, 2330, 2476, 2719, 2909, 2972, 2985, 2998, 3001, 3031, 3107, 3108"
F0009,Hagens Berman Sobol Shapiro LLP,HAGENS BERMAN SOBOL SHAPIRO LLP,"Hagens Berman Sobol Shapiro, LLP",Hagens Berman,4,48,112,"1657, 1708, 1717, 1730, 1745, 1825, 1850, 1907, 1919, 1934, 1938, 1972, 1977, 2011, 2023, 2052, 2058, 2075, 2086, 2143, 2193, 2242, 2293, 2330, 2343, 2405, 2409, 2424, 2455, 2519, 2521, 2619, 2938, 2946, 2966, 2981, 2998, 3014, 3019, 3031, 3040, 3052, 3071, 3073, 3080, 3083, 3113, 3149"
F0010,"OFFICE OF THE ATTORNEY GENERAL, STATE OF FLORIDA",Attorney General of the State of Texas,Attorney General of the State of Connecticut,Attorney General of the State of Ohio,4,2,8,"1657, 2293"
F0011,"Aylstock, Witkin, Kreis & Overholtz","Aylstock, Witkin, Kreis & Overholtz, PLLC","Aylstock, Witkin, Kreis & Overholtz PLLC","Aylstock Witkin Kreis & Overholtz, PLLC",4,14,24,"1905, 1928, 1998, 2299, 2342, 2458, 2973, 3015, 3025, 3079, 3080, 3089, 3094, 3140"
