Firm_ID,Canonical_Firm,AKA_1,AKA_2,AKA_3,Variants_Merged,N_MDLs,N_Mentions,MDLs
F0001,"Lieff Cabraser Heimann & Bernstein, LLP","Lieff, Cabraser, Heimann & Bernstein, LLP",Lieff Cabraser Heimann & Bernstein LLP,"LIEFF CABRASER HEIMANN & BERNSTEIN, LLP",14,64,167,"1431, 1657, 1708, 1715, 1742, 1785, 1791, 1827, 1905, 1914, 2001, 2036, 2143, 2151, 2184, 2223, 2269, 2284, 2299, 2302, 2323, 2335, 2416, 2419, 2420, 2441, 2481, 2543, 2590, 2599, 2606, 2617, 2641, 2656, 2657, 2672, 2687, 2724, 2734, 2750, 2754, 2768, 2777, 2792, 2804, 2819, 2850, 2859, 2875, 2879, 2885, 2905, 2938, 2996, 3014, 3026, 3035, 3051, 3071, 3078, 3084, 3089, 3108, 65000"
F0002,Cohen Milstein Sellers & Toll PLLC,"Cohen, Milstein, Hausfeld & Toll, P.L.L.C.","Cohen Milstein Sellers & Toll, PLLC",Cohen Milstein,11,58,127,"623, 1656, 1658, 1682, 1684, 1717, 1738, 1768, 1775, 1793, 1826, 1854, 1862, 1869, 1895, 1913, 1933, 1935, 1942, 1950, 2017, 2063, 2109, 2184, 2185, 2213, 2293, 2332, 2409, 2420, 2437, 2445, 2460, 2471, 2472, 2508, 2516, 2521, 2540, 2567, 2583, 2617, 2627, 2668, 2673, 2687, 2693, 2704, 2743, 2800, 2827, 2879, 2972, 3062, 3083, 3113, 3144, 3148"
F0003,"Levin, Papantonio, Thomas, Mitchell, Rafferty & Proctor, P.A.","Levin Papantonio Thomas Mitchell Rafferty & Proctor, P.A.","Levin, Papantonio, Thomas, Mitchell, Rafferty, Proctor P.A.",Levin Papantonio,10,38,71,"1657, 1708, 1742, 1789, 1909, 1928, 1968, 2187, 2197, 2243, 2244, 2326, 2357, 2428, 2433, 2441, 2545, 2570, 2606, 2641, 2666, 2734, 2738, 2740, 2750, 2753, 2754, 2789, 2804, 2816, 2846, 2873, 2875, 2885, 2886, 2924, 3044, 3140"
F0004,"Schiffrin Barroway Topaz & Kessler, LLP","Barroway Topaz Kessler Meltzer & Check, LLP",Barroway Topaz Kessler Meltzer & Check LLP,"Schiffrin & Barroway, LLP",7,12,23,"1656, 1658, 1708, 1725, 1807, 1963, 1989, 2003, 2009, 2025, 2027, 2058"
F0005,"Robinson, Calcagnie & Robinson","Robinson Calcagnie, Inc.","Robinson, Calcagnie, Robinson",ROBINSON CALCAGNIE ROBINSON SHAPIRO DAVIS,7,18,31,"1871, 1905, 1909, 1953, 2151, 2187, 2197, 2243, 2326, 2342, 2391, 2458, 2543, 2737, 2879, 2885, 3094, 3140"
F0006,"Beasley, Allen, Crow, Methvin, Portis & Miles, P.C.",Beasley Allen Law Firm,"BEASLEY, ALLEN, CROW, METHVIN, PORTIS & MILES, P.C.",Beasley Allen,6,33,66,"1431, 1657, 1789, 2187, 2197, 2223, 2243, 2244, 2326, 2342, 2391, 2428, 2434, 2502, 2522, 2545, 2583, 2595, 2672, 2738, 2750, 2777, 2789, 2827, 2903, 2905, 2924, 3004, 3015, 3051, 3094, 3114, 3140"
F0007,"Casey Gerry Schenk Francavilla Blatt & Penfield, LLP",Casey Gerry Schenk Francavilla Blatt & Penfield LLP,"Casey, Gerry, Schenk, Francavilla, Blatt & Penfield LLP",Casey Gerry Schenck Francavilla Blatt & Penfield LLP,6,15,23,"2087, 2258, 2452, 2672, 2752, 2777, 2797, 2827, 2828, 2905, 2992, 3040, 3098, 3115, 3149"
F0008,Anapol Schwartz,Anapol Weiss,Anapol Schwartz P.C.,"Anapol, Schwartz, Weiss, Cohon, Feldman, & Smalley, PC",6,21,36,"1657, 1708, 1763, 1842, 1928, 2187, 2197, 2244, 2272, 2323, 2326, 2391, 2545, 2657, 2789, 2816, 2873, 2924, 2973, 3026, 3140"
F0009,"Bartimus, Frickleton, Robertson & Gorny, P.C.","Bartimus, Frickleton, Robertson & Gorny P.C.","Bartimus Frickleton Robertson & Gorny, P.C.","BARTIMUS, FRICKLETON, ROBERTSON & GORNY, P.C.",6,5,12,"1907, 2147, 2314, 2358, 2443"
F0010,Robbins Geller Rudman & Dowd LLP,Coughlin Stoia Geller Rudman & Robbins LLP,Robbins Geller Rudman & David LLP,ROBBINS GELLER RUDMAN & DOWD LLP,5,48,102,"1658, 1675, 1704, 1706, 1720, 1780, 1791, 1820, 1825, 1850, 1895, 1897, 1916, 1940, 2007, 2036, 2052, 2075, 2082, 2186, 2188, 2199, 2238, 2254, 2258, 2420, 2481, 2516, 2521, 2672, 2673, 2687, 2752, 2777, 2779, 2804, 2817, 2827, 2828, 2879, 2905, 2921, 2924, 2972, 2996, 3080, 3089, 3096"
F0011,"Levin, Fishbein, Sedran & Berman",Levin Sedran & Berman LLP,Levin Sedran & Berman,Levin Fishbein Sedran & Berman,5,35,89,"1657, 1663, 1763, 1775, 1817, 2000, 2047, 2223, 2243, 2274, 2290, 2342, 2359, 2428, 2434, 2436, 2514, 2522, 2545, 2738, 2792, 2797, 2827, 2828, 2873, 2875, 2887, 3014, 3050, 3056, 3083, 3089, 3094, 3108, 3114"
F0012,Hagens Berman Sobol Shapiro LLP,HAGENS BERMAN SOBOL SHAPIRO LLP,Hagens Berman,Hagens Berman Sobol Shapiro,5,76,196,"1657, 1708, 1717, 1730, 1745, 1825, 1850, 1907, 1919, 1934, 1938, 1972, 1977, 2011, 2023, 2036, 2052, 2058, 2067, 2075, 2086, 2143, 2193, 2242, 2262, 2293, 2330, 2332, 2343, 2405, 2409, 2419, 2420, 2424, 2428, 2445, 2455, 2460, 2472, 2492, 2516, 2519, 2521, 2541, 2543, 2567, 2619, 2627, 2672, 2673, 2724, 2743, 2744, 2773, 2777, 2779, 2819, 2836, 2873, 2878, 2938, 2946, 2966, 2981, 2998, 3014, 3019, 3031, 3040, 3052, 3071, 3073, 3080, 3083, 3113, 3149"
F0013,"Pearson, Simon & Warshaw, LLP","Pearson, Simon, Warshaw & Penny, LLP","Pearson, Simon &
Warshaw, LLP","Pearson, Simon, Soter, Warshaw & Penny, LLP",5,23,74,"1822, 1827, 1972, 1996, 2143, 2186, 2196, 2330, 2420, 2476, 2541, 2542, 2645, 2719, 2796, 2909, 2972, 2985, 2998, 3001, 3031, 3107, 3108"
F0014,"Napoli Bern Ripka Shkolnik, LLP",Napoli Bern,NAPOLI BERN RIPKA SHKOLNIK & ASSOCIATES,"NAPOLI, BERN, RIPKA & SHKOLNIK LLP",5,10,19,"1928, 1964, 2187, 2244, 2272, 2326, 2385, 2418, 2440, 2452"
F0015,"Babbitt, Johnson, Osborne & LaClainche","Babbitt, Johnson, Osborne & LeClainche",BABBITT JOHNSON OSBORNE & LE CLAINCHE,"Babbitt, Johnson, Osborne & LeClainche, P.A.",5,8,24,"1928, 2187, 2272, 2326, 2391, 2441, 2570, 2641"
F0016,Milberg Tadler Phillips Grossman LLP,SANDERS VIENER GROSSMAN,Sanders Viener Grossman LLP,"SANDERS PHILLIPS GROSSMAN, LLC",5,18,28,"1871, 2187, 2243, 2272, 2326, 2331, 2428, 2434, 2452, 2606, 2642, 2738, 2800, 2809, 2817, 2827, 2879, 2973"
F0017,"Climaco, Wilcox, Peca, Tarantino & Garofoli Co., LPA","Climaco, Wilcox, Peca, Tarantino & Garofoli Co., L.P.A.","CLIMACO, LEFKOWITZ, PECA, WILCOX & GAROFOLI CO., L.P.A.","Climaco, Lefkowitz, Peca, Wilcox & Garofoli Co., L.P.A.",5,12,13,"1431, 1708, 1968, 2066, 2199, 2220, 2223, 2244, 2299, 2333, 2391, 2434"
F0018,"Schlichter, Bogard & Denton, LLP",Schlicter Bogard & Denton,"Schlicter Board & Denton, LLP","SCHLICHTER, BOGARD & DENTON, LLP",5,12,16,"1742, 1909, 1964, 2433, 2545, 2666, 2750, 2754, 2789, 2973, 3026, 3092"
F0019,"OFFICE OF THE ATTORNEY GENERAL, STATE OF FLORIDA",Attorney General of the State of Texas,Attorney General of the State of Connecticut,Attorney General of the State of Ohio,5,3,9,"1657, 2293, 2804"
F0020,Whatley Drake & Kallas,"Whatley Drake & Kallas, LLC","Whatley Drake, LLC","WHATLEY DRAKE & KALLAS,LLC",4,20,28,"1658, 1663, 1780, 1785, 1811, 1838, 1865, 1897, 1905, 1907, 1928, 1934, 1967, 1997, 2020, 2034, 2036, 2068, 2074, 2199"
F0021,"Heins Mills & Olson, P.L.C.","Heins Mills & Olson, PLC","Heins, Mills & Olson, PLC","Heins, Mills & Olson, P.L.C.",4,18,30,"1431, 1708, 1869, 1957, 1999, 2221, 2332, 2445, 2460, 2481, 2514, 2516, 2521, 2522, 2551, 2583, 2619, 2819"
F0022,Berman DeValerio,Berman DeValerio Pease Tabacco Burt & Pucillo,Berman Tabacco,BERMAN DEVALERIO,4,10,27,"1671, 1819, 1889, 1898, 1963, 2143, 2185, 2242, 2409, 2420"
F0023,Stueve Siegel Hanson LLP,Stueve Siegel Hanson,Stueve Siegel Hanson Woody LLP,Stueve Siegel Hanson LLP - KCMO,4,24,54,"1786, 2036, 2086, 2138, 2361, 2522, 2567, 2583, 2591, 2670, 2740, 2789, 2800, 2879, 2885, 2887, 2915, 2955, 2975, 3019, 3073, 3098, 3108, 3115"
F0024,"Shepherd, Finkelman, Miller & Shah, LLP","Shepherd Finkelman Miller & Shah, LLP","Shepherd Finkelman Miller & Shah, LLC","SHEPHERD FINKELMAN MILLER & SHAH, LLP",4,17,29,"1911, 1920, 1995, 2001, 2316, 2332, 2333, 2407, 2409, 2445, 2460, 2472, 2516, 2540, 2688, 2724, 2792"
F0025,"Aylstock, Witkin, Kreis & Overholtz, PLLC","Aylstock, Witkin, Kreis & Overholtz","Aylstock Witkin Kreis & Overholtz, PLLC",Aylstock Witkin Kreis & Overholtz,4,30,77,"1871, 1905, 1928, 1998, 2187, 2244, 2272, 2299, 2326, 2327, 2342, 2387, 2391, 2440, 2441, 2452, 2458, 2642, 2734, 2782, 2789, 2885, 2973, 3015, 3025, 3079, 3080, 3089, 3094, 3140"
F0026,"Clayeo C. Arnold, A Professional Law Corp.","Clayeo C. Arnold, A Profession Corporation",Clayeo C. Arnold A Professional Corporation,"Clayeo C. Arnold, APC",4,2,4,"2994, 3056"
F0027,"Robins, Kaplan, Miller & Ciresi L.L.P.","Robins, Kaplan, Miller & Ciresi LLP","Robins, Kaplan, Miller & Ceresi","Robins, Kaplan, Miller & Ciresi",3,9,23,"1720, 1775, 1836, 1935, 2196, 2197, 2213, 2244, 2471"
F0028,"Quinn Emanuel Urquhart & Sullivan, LLP",Quinn Emanuel Urquhart & Sullivan LLP,Quinn Emanuel Urquhart Oliver & Hedges,Quinn Emanuel,3,21,50,"1869, 1938, 2187, 2196, 2342, 2476, 2502, 2548, 2577, 2670, 2673, 2687, 2704, 2740, 2804, 2842, 2885, 2925, 2931, 3062, 3103"
F0029,Lovell Stewart Halebian Jacobson LLP,Lovell Stewart Halebian LLP,Lovell Stewart & Halebian LLP,"Lovell, Stewart Halebian, LLP",3,15,39,"1775, 1780, 1807, 1869, 1935, 1946, 1957, 1996, 1997, 2002, 2031, 2213, 2262, 2389, 2481"
F0030,"Carella, Byrne, Cecchi, Brody & Agnello","Carella Byrne Cecchi Olstein Brody & Agnello, P.C.","Carella, Byrne, Cecchi, Olstein, Brody & Agnello, P.C.","Carella, Byrne, Cecchi, Olstein, Brody & Agnello",3,28,66,"2243, 2332, 2353, 2361, 2415, 2471, 2506, 2514, 2540, 2577, 2599, 2672, 2687, 2750, 2779, 2804, 2904, 2948, 2973, 3051, 3073, 3080, 3089, 3090, 3108, 3113, 3114, 3149"
F0031,"Carlson Lynch, LLP","Carlson Lynch Sweet & Kilpela, LLP","Carlson Lynch Sweet Kilpela & Carpenter, LLP",Carlson Lynch Ltd.,3,15,27,"1674, 2522, 2583, 2586, 2595, 2669, 2693, 2800, 2850, 2879, 2948, 2968, 2969, 2972, 2984"
F0032,Stoll Stoll Berne Lokting & Shlachter P.C.,STOLL STOLL BERNE LOKTING & SHLACHTER P.C.,Stoll Bernie Lokting & Shlachter,Stoll Berne,3,3,11,"2633, 2795, 2828"
F0033,"Cotchett, Pitre & McCarthy, LLP","Cotchett, Pitre & McCarthy","Cotchett, Pitre & McCarthy LLP",Cotchett Pitre & McCarthy LLP,3,39,87,"1775, 1780, 1793, 1807, 1819, 1913, 1968, 1972, 1987, 2017, 2109, 2143, 2145, 2185, 2233, 2311, 2335, 2420, 2451, 2471, 2627, 2656, 2672, 2693, 2724, 2743, 2773, 2801, 2827, 2992, 2993, 3031, 3040, 3051, 3089, 3107, 3114, 3115, 3119"
F0034,Wolf Haldenstein Adler Freeman & Herz LLP,Wolf Haldenstein Adler Freeman & Herz LLC,Wolf Haldenstein Alder Freeman & Herz LLP,"Wolf Haldenstein of Alder, Freeman & Herz LLC",3,19,35,"1751, 1807, 1811, 1907, 1990, 1997, 2031, 2052, 2070, 2185, 2233, 2258, 2284, 2542, 2670, 2705, 2903, 3009, 3107"
F0035,Whitfield Bryson & Mason LLP,"Whitfield Bryson & Mason, LLP",WHITFIELD BRYSON & MASON LLP,"Whitfield, Bryson & Mason, LLP",3,17,40,"1958, 2000, 2047, 2333, 2495, 2514, 2577, 2627, 2664, 2688, 2743, 2779, 2886, 2887, 2938, 2972, 3021"
F0036,Goldman Scarlato & Karon,"Goldman, Scarlato & Penny, PC;",Goldman Scarlato & Penny PC,Goldman Scarlato Karon & Penny PC;,3,5,6,"1785, 2409, 2460, 2551, 2595"
