Firm_ID,Canonical_Firm,AKA_1,AKA_2,AKA_3,Variants_Merged,N_MDLs,N_Mentions,MDLs
F0001,Hagens Berman Sobol Shapiro LLP,HAGENS BERMAN SOBOL SHAPIRO LLP,"Hagens Berman Sobol Shapiro, LLP",Hagens Berman,7,77,184,"1657, 1708, 1717, 1730, 1745, 1825, 1850, 1907, 1919, 1934, 1938, 1972, 1977, 2011, 2023, 2036, 2052, 2058, 2067, 2075, 2086, 2143, 2193, 2242, 2262, 2293, 2330, 2332, 2343, 2405, 2409, 2419, 2420, 2424, 2428, 2445, 2455, 2460, 2472, 2492, 2516, 2519, 2521, 2541, 2543, 2567, 2619, 2627, 2672, 2673, 2724, 2743, 2744, 2773, 2777, 2779, 2819, 2836, 2843, 2873, 2878, 2938, 2946, 2966, 2981, 2998, 3014, 3019, 3031, 3040, 3052, 3071, 3073, 3080, 3083, 3113, 3149"
F0002,"Levin, Fishbein, Sedran & Berman",Levin Sedran & Berman LLP,"Levin, Papantonio, Thomas, Mitchell, Rafferty & Proctor, P.A.",Levin Sedran & Berman,16,76,179,"1657, 1663, 1708, 1742, 1763, 1775, 1789, 1817, 1909, 1928, 1953, 1968, 2000, 2047, 2179, 2187, 2197, 2223, 2243, 2244, 2274, 2290, 2299, 2330, 2342, 2357, 2359, 2428, 2433, 2434, 2436, 2441, 2514, 2522, 2545, 2570, 2592, 2606, 2641, 2666, 2734, 2738, 2740, 2750, 2754, 2789, 2792, 2797, 2816, 2827, 2828, 2846, 2873, 2875, 2885, 2886, 2887, 2924, 2973, 3004, 3014, 3026, 3029, 3044, 3050, 3051, 3056, 3079, 3080, 3083, 3089, 3092, 3094, 3108, 3114, 3140"
F0003,Hausfeld LLP,"Hausfeld, LLP",Hausfeld,HAUSFELD LLP,2,58,150,"1682, 1768, 1775, 1869, 1912, 1913, 1935, 1942, 1950, 1982, 2002, 2007, 2143, 2186, 2196, 2213, 2221, 2262, 2323, 2335, 2406, 2441, 2492, 2522, 2583, 2626, 2633, 2641, 2656, 2657, 2666, 2668, 2670, 2672, 2724, 2800, 2842, 2862, 2867, 2873, 2879, 2904, 2925, 2948, 2977, 2981, 3019, 3031, 3056, 3071, 3073, 3074, 3096, 3097, 3108, 3113, 3127, 3149"
F0004,"Berger & Montague, P.C.",Berger Montague PC,Berger Montague,"Berger Montague, PC",1,53,147,"1695, 1720, 1730, 1735, 1768, 1780, 1782, 1790, 1838, 1850, 1933, 1935, 1961, 1992, 1998, 2000, 2063, 2084, 2270, 2274, 2332, 2338, 2359, 2409, 2437, 2460, 2472, 2474, 2516, 2521, 2548, 2567, 2575, 2580, 2673, 2687, 2724, 2734, 2792, 2819, 2933, 2977, 3014, 3071, 3081, 3083, 3097, 3108, 3113, 3119, 3121, 3128, 3149"
F0005,"Lieff Cabraser Heimann & Bernstein, LLP","Lieff, Cabraser, Heimann & Bernstein, LLP",Lieff Cabraser Heimann & Bernstein LLP,"LIEFF CABRASER HEIMANN & BERNSTEIN, LLP",13,64,146,"1431, 1657, 1708, 1715, 1742, 1785, 1791, 1827, 1905, 1914, 2001, 2036, 2143, 2184, 2223, 2269, 2284, 2299, 2302, 2323, 2335, 2416, 2419, 2420, 2441, 2481, 2543, 2590, 2599, 2606, 2617, 2641, 2656, 2657, 2672, 2687, 2724, 2734, 2750, 2754, 2768, 2777, 2792, 2819, 2850, 2859, 2875, 2879, 2885, 2905, 2938, 2996, 3014, 3026, 3035, 3051, 3071, 3078, 3084, 3089, 3094, 3108, 3140, 65000"
F0006,Cohen Milstein Sellers & Toll PLLC,"Cohen, Milstein, Hausfeld & Toll, P.L.L.C.","Cohen Milstein Sellers & Toll, PLLC","Cohen, Milstein, Hausfeld & Toll P.L.L.C.",10,60,126,"623, 1656, 1658, 1682, 1684, 1717, 1738, 1768, 1775, 1793, 1826, 1854, 1862, 1869, 1895, 1913, 1933, 1935, 1942, 1950, 2017, 2063, 2109, 2184, 2185, 2213, 2293, 2332, 2409, 2420, 2437, 2445, 2460, 2471, 2472, 2508, 2516, 2521, 2540, 2567, 2583, 2586, 2617, 2627, 2668, 2673, 2687, 2693, 2704, 2743, 2800, 2827, 2843, 2879, 2972, 3062, 3083, 3113, 3144, 3148"
F0007,Motley Rice LLC,"Motley Rice, LLC",Motley Rice,MOTLEY RICE LLC,1,54,114,"1570, 1763, 1791, 1842, 1871, 1905, 1928, 1968, 2083, 2087, 2187, 2197, 2243, 2244, 2325, 2326, 2327, 2342, 2387, 2440, 2445, 2460, 2472, 2502, 2516, 2521, 2543, 2641, 2657, 2672, 2691, 2709, 2724, 2738, 2753, 2777, 2782, 2836, 2842, 2843, 2873, 2885, 2921, 2924, 2966, 2972, 2973, 2996, 3014, 3051, 3094, 3115, 3140, 3148"
F0008,Lockridge Grindal Nauen PLLP,Lockridge Grindal Nauen P.L.L.P.,Lockridge Grindal Nauen,"Lockridge Grindal Nauen, PLLP",2,59,106,"1431, 1658, 1700, 1708, 1775, 1817, 1905, 1942, 1943, 1958, 1990, 1996, 2000, 2098, 2187, 2223, 2247, 2264, 2274, 2290, 2325, 2326, 2327, 2359, 2387, 2434, 2440, 2441, 2522, 2545, 2551, 2583, 2586, 2591, 2595, 2642, 2691, 2724, 2741, 2744, 2752, 2796, 2800, 2809, 2903, 2915, 2948, 2993, 2998, 3031, 3074, 3079, 3083, 3097, 3107, 3108, 3110, 3113, 3148"
F0009,Seeger Weiss LLP,Seeger Weiss,"Seeger Weiss, LLP",SEEGER WEISS LLP,1,52,93,"1657, 1708, 1742, 1789, 1811, 1817, 1842, 1862, 1909, 1938, 2001, 2020, 2074, 2087, 2196, 2197, 2243, 2244, 2299, 2323, 2333, 2342, 2361, 2415, 2428, 2436, 2495, 2506, 2514, 2545, 2591, 2592, 2672, 2687, 2750, 2779, 2789, 2796, 2828, 2846, 2873, 2885, 2973, 3014, 3080, 3089, 3094, 3108, 3113, 3114, 3121, 3140"
F0010,Kaplan Fox & Kilsheimer LLP,"Kaplan, Fox & Kilsheimer, LLP","Kaplan Fox & Kilsheimer, LLP",Kaplan Fox and Kilsheimer LLP,2,29,90,"1431, 1682, 1684, 1775, 1869, 1895, 1912, 1933, 1940, 1972, 1997, 2058, 2086, 2143, 2262, 2275, 2314, 2328, 2358, 2471, 2508, 2542, 2583, 2656, 2724, 2819, 2827, 2931, 3097"
