first,last,mdl,Attorney_ID
christopher,seeger,1657,A0001
christopher,seeger,1699,A0001
christopher,seeger,1708,A0001
christopher,seeger,1742,A0001
christopher,seeger,1789,A0001
christopher,seeger,1842,A0001
christopher,seeger,1909,A0001
christopher,seeger,1938,A0001
christopher,seeger,2047,A0001
christopher,seeger,2087,A0001
christopher,seeger,2158,A0001
christopher,seeger,2197,A0001
christopher,seeger,2243,A0001
christopher,seeger,2244,A0001
christopher,seeger,2299,A0001
christopher,seeger,2323,A0001
christopher,seeger,2342,A0001
christopher,seeger,2506,A0001
christopher,seeger,2545,A0001
christopher,seeger,2591,A0001
christopher,seeger,2672,A0001
christopher,seeger,2687,A0001
christopher,seeger,2750,A0001
christopher,seeger,2779,A0001
christopher,seeger,2789,A0001
christopher,seeger,2796,A0001
christopher,seeger,2804,A0001
christopher,seeger,2828,A0001
christopher,seeger,2885,A0001
christopher,seeger,2904,A0001
christopher,seeger,2973,A0001
christopher,seeger,3014,A0001
christopher,seeger,3047,A0001
christopher,seeger,3055,A0001
christopher,seeger,3089,A0001
christopher,seeger,3113,A0001
christopher,seeger,3121,A0001
christopher,seeger,3140,A0001
chris,seeger,1657,A0001
chris,seeger,1909,A0001
chris,seeger,2428,A0001
chris,seeger,2436,A0001
chris,seeger,2804,A0001
chris,seeger,2885,A0001
chris,seeger,3047,A0001
chris,seeger,3114,A0001
james,cecchi,1914,A0002
james,cecchi,1938,A0002
james,cecchi,2020,A0002
james,cecchi,2158,A0002
james,cecchi,2228,A0002
james,cecchi,2243,A0002
james,cecchi,2332,A0002
james,cecchi,2353,A0002
james,cecchi,2415,A0002
james,cecchi,2471,A0002
james,cecchi,2506,A0002
james,cecchi,2514,A0002
james,cecchi,2540,A0002
james,cecchi,2577,A0002
james,cecchi,2591,A0002
james,cecchi,2599,A0002
james,cecchi,2672,A0002
james,cecchi,2687,A0002
james,cecchi,2750,A0002
james,cecchi,2779,A0002
james,cecchi,2904,A0002
james,cecchi,2948,A0002
james,cecchi,3051,A0002
james,cecchi,3055,A0002
james,cecchi,3073,A0002
james,cecchi,3080,A0002
james,cecchi,3089,A0002
james,cecchi,3090,A0002
james,cecchi,3113,A0002
james,cecchi,3114,A0002
james,cecchi,3149,A0002
james,ceechi,2904,A0002
james,checchi,3055,A0002
elizabeth,cabraser,1431,A0003
elizabeth,cabraser,1657,A0003
elizabeth,cabraser,1699,A0003
elizabeth,cabraser,1708,A0003
elizabeth,cabraser,1845,A0003
elizabeth,cabraser,1938,A0003
elizabeth,cabraser,2151,A0003
elizabeth,cabraser,2179,A0003
elizabeth,cabraser,2184,A0003
elizabeth,cabraser,2335,A0003
elizabeth,cabraser,2419,A0003
elizabeth,cabraser,2543,A0003
elizabeth,cabraser,2599,A0003
elizabeth,cabraser,2656,A0003
elizabeth,cabraser,2672,A0003
elizabeth,cabraser,2724,A0003
elizabeth,cabraser,2777,A0003
elizabeth,cabraser,2804,A0003
elizabeth,cabraser,2996,A0003
elizabeth,cabraser,3084,A0003
richard,arsenault,1657,A0004
richard,arsenault,1699,A0004
richard,arsenault,1708,A0004
richard,arsenault,1742,A0004
richard,arsenault,1811,A0004
richard,arsenault,1905,A0004
richard,arsenault,1964,A0004
richard,arsenault,2151,A0004
richard,arsenault,2187,A0004
