kind,pair_key,verdict,confidence,source,a,b
attorney,att|thomas.preuss.cartmell-wagstaff.9|thomas.preuss.foster-preuss.1,same,high,llm-batch,"names: Thomas J. Preuss | firm(s): Wagstaff & Cartmell, LLP; WAGSTAFF & CARTMELL LLP | MDLs: 1657, 2244, 2452 | corpus: new_extracted/old_extracted | mentions: ",names: Thomas J. Preuss | firm(s): Preuss | Foster Law | MDLs: 3037 | corpus: new_extracted | mentions: 1
attorney,att|michael.berg.berg-michael.1|michael.burg.burg-eldredge-hersh-jardine-simpson.9,distinct,high,llm-batch,"names: Michael S. Burg, Michael Burg, MICHAEL S. BURG | firm(s): Burg Simpson Eldredge Hersh & Jardine; Burg, Simpson, Eldredge, Hersh & Jardine; Burg Simpson E",names: Michael S. Berg | firm(s): Law Offices of Michael S. Berg | MDLs: 2452 | corpus: old_extracted | mentions: 1
attorney,att|sheila.bossier.bossier.6|sheila.bossier.freese-goss.2,same,high,llm-batch,"names: Sheila Bossier, Sheila M. Bossier | firm(s): BOSSIER & ASSOCIATES, PLLC; Bossier & Associates, PLLC; Bossier and Associates | MDLs: 1657, 2272, 3029 | co","names: Sheila M. Bossier | firm(s): Freese & Goss, PLLC | MDLs: 2641 | corpus: old_extracted | mentions: 2"
attorney,att|robert.johnston.eldridge-hoefer-holwadel-johnston.1|robert.johnston.hollingsworth.1,distinct,high,llm-batch,"names: Robert M. Johnston | firm(s): Johnston, Hoefer, Holwadel & Eldridge | MDLs: 1657 | corpus: new_extracted | mentions: 1",names: Robert E. Johnston | firm(s): Hollingsworth LLP | MDLs: 3006 | corpus: new_extracted | mentions: 1
attorney,att|john.beisner.arps-flom-meagher-skadden-slate.1|john.beisner.meyers-myers-omelveny.4,same,high,llm-batch,"names: John H. Beisner, John Beisner | firm(s): OMelveny & Meyers LLP; OMelveny & Myers, LLP; OMelveny & Myers LLP | MDLs: 1657, 1700, 1785 | corpus: new_extrac","names: John H. Beisner | firm(s): Skadden, Arps, Slate, Meagher & Flom, LLP & Associates | MDLs: 2068 | corpus: new_extracted | mentions: 1"
attorney,att|matthew.kaplan.cohen-hausfeld-milstein-toll.1|matthew.kaplan.kaplan.1,same,medium,llm-batch,"names: Matthew B. Kaplan | firm(s): Cohen, Milstein, Hausfeld & Toll, P.L.L.C. | MDLs: 1656 | corpus: new_extracted | mentions: 1",names: Matthew B. Kaplan | firm(s): Kaplan Law Firm | MDLs: 3111 | corpus: new_extracted | mentions: 1
attorney,att|marc.seltzer.godfrey-susman.13|mark.schultz.cohen-placitella-roth.2,distinct,high,llm-batch,"names: Mark C. Schultz | firm(s): COHEN, PLACITELLA & ROTH | MDLs: 1657 | corpus: new_extracted | mentions: 2","names: Marc M. Seltzer, Marc Seltzer | firm(s): Susman Godfrey L.L.P.; Susman Godfrey L.L.P; Susman Godfrey LLP | MDLs: 1891, 1957, 2151, 2543, 2668 | corpus: n"
attorney,att|j.vaughan.bender-strohbehn-vaughan-walters.2|jay.vaughn.hendy-johnson-schachter.1,distinct,medium,llm-batch,"names: J. Michael Vaughan | firm(s): Walters Bender Strohbehn & Vaughan, P.C. | MDLs: 1674 | corpus: new_extracted | mentions: 2","names: Jay Vaughn | firm(s): Schachter, Hendy & Johnson, PSC | MDLs: 2308 | corpus: new_extracted | mentions: 1"
attorney,att|gordan.ball.ball-scott.1|gordon.ball.ball-gordon-scott.11,same,high,llm-batch,"names: Gordon Ball | firm(s): Ball & Scott; Ball & Scott Law Offices; Ball & Scott, PA | MDLs: 1682, 1768, 1785, 2343, 2406, 2508 | corpus: new_extracted/old_ex",names: Gordan Ball | firm(s): BALL & SCOTT | MDLs: 1730 | corpus: new_extracted | mentions: 1
attorney,att|peter.burg.burg-eldredge-hersh-jardine-simpson.3|peter.burke.drake-whatley.2,distinct,high,llm-batch,"names: Peter H. Burke, Peter Burke | firm(s): Whatley Drake, LLC | MDLs: 1658, 2406 | corpus: new_extracted/old_extracted | mentions: 2","names: Peter W. Burg, Peter Burg | firm(s): Burg Simpson Eldredge Hersh Jardine, P.C. | MDLs: 1699, 1909 | corpus: new_extracted | mentions: 3"
attorney,att|david.worley.chitwood-harley-harnes.1|david.worley.harris-lowry-penn.3,same,medium,llm-batch,"names: David J. Worley | firm(s): Chitwood, Harley & Harnes, LLP | MDLs: 1677 | corpus: new_extracted | mentions: 1","names: David J. Worley | firm(s): Harris Penn Lowry, LLP; Harris Penn Lowry LLP | MDLs: 2583 | corpus: new_extracted | mentions: 3"
attorney,att|david.worley.chitwood-harley-harnes.1|david.worley.evangelista-worley.1,same,high,llm-batch,"names: David J. Worley | firm(s): Chitwood, Harley & Harnes, LLP | MDLs: 1677 | corpus: new_extracted | mentions: 1",names: David J. Worley | firm(s): Evangelista Worley LLC | MDLs: 2800 | corpus: old_extracted | mentions: 1
attorney,att|david.worley.evangelista-worley.1|david.worley.harris-lowry-penn.3,same,high,llm-batch,"names: David J. Worley | firm(s): Harris Penn Lowry, LLP; Harris Penn Lowry LLP | MDLs: 2583 | corpus: new_extracted | mentions: 3",names: David J. Worley | firm(s): Evangelista Worley LLC | MDLs: 2800 | corpus: old_extracted | mentions: 1
attorney,att|thomas.cartmell.cartmell-wagstaff.40|thomas.curtin.curtin-graham.1,distinct,high,llm-batch,"names: Thomas P. Cartmell, Thomas Cartmell | firm(s): Wagstaff & Cartmell, LLP; Wagstaff & Cartmell LLP; Wagstaff & Cartmell | MDLs: 1699, 1871, 2187, 2244, 232","names: Thomas R. Curtin | firm(s): Graham Curtin, P.A. | MDLs: 1914 | corpus: new_extracted | mentions: 1"
attorney,att|thomas.cartmell.cartmell-wagstaff.40|thomas.curtin.carpenter-deutsch-mcelroy-mulvaney.1,distinct,high,llm-batch,"names: Thomas P. Cartmell, Thomas Cartmell | firm(s): Wagstaff & Cartmell, LLP; Wagstaff & Cartmell LLP; Wagstaff & Cartmell | MDLs: 1699, 1871, 2187, 2244, 232","names: Thomas R. Curtin | firm(s): MCELROY, DEUTSCH, MULVANEY & CARPENTER, LLP | MDLs: 3113 | corpus: new_extracted | mentions: 1"
attorney,att|thomas.curtin.carpenter-deutsch-mcelroy-mulvaney.1|thomas.curtin.curtin-graham.1,same,medium,llm-batch,"names: Thomas R. Curtin | firm(s): Graham Curtin, P.A. | MDLs: 1914 | corpus: new_extracted | mentions: 1","names: Thomas R. Curtin | firm(s): MCELROY, DEUTSCH, MULVANEY & CARPENTER, LLP | MDLs: 3113 | corpus: new_extracted | mentions: 1"
attorney,att|joseph.cotchett.cotchett-cpm-mccarthy-pitre.10|joseph.cotechett.cotchett-mccarthy-pitre.1,same,high,llm-web,"names: Joseph W. Cotchett, Joseph Cotchett | firm(s): Cotchett, Pitre & McCarthy; Cotchett, Pitre & McCarthy LLP; Cotchett, Pitre & McCarthy, LLP | MDLs: 1699, ","names: Joseph W. Cotechett | firm(s): Cotchett, Pitre & McCarthy, LLP | MDLs: 2773 | corpus: old_extracted | mentions: 1"
attorney,att|amy.schulman.dla-piper.3|amy.solomon.girardi-keese.1,distinct,high,llm-batch,"names: Amy W. Schulman, Amy Schulman | firm(s): DLA Piper US LLP | MDLs: 1699, 1850, 1909 | corpus: new_extracted | mentions: 3","names: Amy Solomon | firm(s): Girardi, Keese | MDLs: 2197 | corpus: old_extracted | mentions: 1"
attorney,att|tobias.millrood.barroway-braslow-millrood-pogust-schiffrin.5|tobias.milrood.braslow-millrood-pogust.1,same,high,llm-web,"names: Tobias L. Millrood, Tobias Millrood, Mr. Tobias L. Millrood | firm(s): Schiffrin & Barroway, LLP; Pogust, Braslow and Millrood; Pogust Braslow & Millrood","names: Tobias Milrood | firm(s): Pogust Braslow & Millrood, LLC | MDLs: 1909 | corpus: new_extracted | mentions: 1"
attorney,att|gary.smith.gary-smith.1|gary.smith.graham.1,distinct,high,llm-batch,names: Gary M. Smith | firm(s): Graham & Graham Co. LPA | MDLs: 1733 | corpus: new_extracted | mentions: 1,names: Gary K. Smith | firm(s): Law Offices of Gary K. Smith | MDLs: 1785 | corpus: new_extracted | mentions: 1
attorney,att|diane.nast..1|dianne.nast.nast-nastlaw-nastlawllc-roda-rodanast.38,same,high,llm-batch,"names: Dianne M. Nast, Dianne Nast | firm(s): RodaNast, P.C.; NastLaw LLC; NASTLAW LLC | MDLs: 1431, 1730, 1871, 1905, 1997, 2068, 2187, 2226, 2299, 2323 | corp",names: Diane Nast | firm(s): (no firm recorded) | MDLs: 1871 | corpus: old_extracted | mentions: 1
attorney,att|jerold.parker.alonso-parker-waichman.6|jerrold.parker.alonso-parker-waichman.10,same,high,llm-batch,"names: Jerrold Seth Parker, Jerrold Parker, Jerrold S. Parker | firm(s): Parker & Waichman, LLP; Parker Waichman Alonso LLP; Parker, Waichman & Alonso, LLP | MD","names: Jerold S. Parker | firm(s): Parker, Waichman & Alonso | MDLs: 2244 | corpus: old_extracted | mentions: 6"
attorney,att|lori.andrus.anderson-andrus-liberty.2|lori.andrus.bernstein-cabraser-heimann-lieff.1,same,high,llm-batch,"names: Lori Andrus | firm(s): Lieff, Cabraser, Heimann & Bernstein | MDLs: 1742 | corpus: new_extracted | mentions: 1","names: Lori E. Andrus, Lori Andrus | firm(s): Andrus Liberty & Anderson LLP; Andrus Anderson, LLP | MDLs: 1911, 2741 | corpus: new_extracted/old_extracted | men"
attorney,att|michelle.parfit.ashcraft-gerel.1|michelle.parfitt.ashcraft-gerel.10,same,high,llm-web,"names: Michelle Parfitt, Michelle A. Parfitt | firm(s): Ashcraft & Gerel; Ashcraft & Gerel, LLP; ASHCRAFT & GEREL | MDLs: 1742, 1789, 1909, 2187, 2385, 2428, 27",names: Michelle Parfit | firm(s): Ashcraft & Gerel LLP | MDLs: 2428 | corpus: old_extracted | mentions: 1
attorney,att|francis.gregorek.adler-freeman-haldenstein-herz-wolf.1|gregorio.francis.francis-osborne.2,distinct,high,llm-web,names: Francis M. Gregorek | firm(s): Wolf Haldenstein Adler Freeman & Herz LLP | MDLs: 1751 | corpus: new_extracted | mentions: 1,"names: Gregorio A. Francis | firm(s): OSBORNE & FRANCIS LAW FIRM, PLLC | MDLs: 3035 | corpus: new_extracted | mentions: 2"
attorney,att|christopher.placitella.cohen-placitella-roth.4|christopher.placittella.cohen-placitella-professional-roth.1,same,high,llm-web,"names: Christopher M. Placitella | firm(s): Cohen, Placitella & Roth; Cohen Placitella & Roth; COHEN, PLACITELLA, & ROTH, P.C. | MDLs: 1763, 1817, 2197, 2738 | ","names: Christopher M. Placittella | firm(s): Cohen, Placitella & Roth, A Professional Corporation | MDLs: 1763 | corpus: new_extracted | mentions: 1"
attorney,att|russel.beatie.beatie-osborn.2|russell.budd.baron-budd.13,distinct,high,llm-batch,"names: Russel H. Beatie | firm(s): BEATIE AND OSBORN LLP; Beatie & Osborn LLP | MDLs: 1760, 1789 | corpus: new_extracted | mentions: 2","names: Russell W. Budd, Russell Budd | firm(s): Baron & Budd, P.C.; BARON & BUDD, P.C.; Baron and Budd P.C. | MDLs: 2187, 2440, 2570, 2641, 2642, 2657, 2804, 30"
