Corpus,Unified_Attorney_ID,Unified_Firm_ID,Appointment_ID,Order_No,Last Name,First Name,Appoint,Remove,Interim,Appointment Types,Plaintiff/Defendant,Appointee Type,Firm,First_Last_Calculated,MDL_No,MDL Type,Possible_Duplicate_Appointment,Provenance
new,A1009,F0663,1657-31448-1,1657-31448,Davis,Grant,True,False,False,Management,Plaintiff,Individual,"DAVIS, BETHUNE & JONES, LLC",Grant Davis,1657,,"same appointee+role+side on 2010-01-08 across 2 orders: 1657-21427, 1657-31448",extracted
new,A0173,F0027,1657-31448-2,1657-31448,Preuss,Thomas,True,False,False,Management,Plaintiff,Individual,WAGSTAFF & CARTMELL LLP,Thomas Preuss,1657,,"same appointee+role+side on 2010-01-08 across 2 orders: 1657-21427, 1657-31448",extracted
new,,F0663,1657-31448-F1,1657-31448,,,True,False,False,Management,Plaintiff,Firm,"DAVIS, BETHUNE & JONES, LLC","DAVIS, BETHUNE & JONES, LLC",1657,,"same appointee+role+side on 2010-01-08 across 2 orders: 1657-21427, 1657-31448",extracted
new,,F0027,1657-31448-F2,1657-31448,,,True,False,False,Management,Plaintiff,Firm,WAGSTAFF & CARTMELL LLP,WAGSTAFF & CARTMELL LLP,1657,,"same appointee+role+side on 2010-01-08 across 2 orders: 1657-21427, 1657-31448",extracted
new,,F0078,1656-6-1,1656-6,,,True,False,False,LeadCounsel,Plaintiff,Firm,"Schiffrin & Barroway, LLP","Schiffrin & Barroway, LLP",1656,,,extracted
new,,F0006,1656-6-2,1656-6,,,True,False,False,LeadCounsel,Plaintiff,Firm,"Cohen, Milstein, Hausfeld & Toll, P.L.L.C.","Cohen, Milstein, Hausfeld & Toll, P.L.L.C.",1656,,,extracted
new,,F0020,1656-6-3,1656-6,,,True,False,False,Communications,Plaintiff,Firm,"Milberg Weiss Bershad & Schulman, LLP","Milberg Weiss Bershad & Schulman, LLP",1656,,,extracted
new,A0284,,1657-36-1,1657-36,Wittmann,Phillip,True,False,False,Communications,Defendant,Individual,,Phillip Wittmann,1657,,,extracted
new,A0352,,1657-25829-1,1657-25829,Sanford,Shelly,True,False,False,Management,Plaintiff,Individual,,Shelly Sanford,1657,,,extracted
new,A0013,F0173,1657-351-1,1657-351,Barrios,Dawn,True,False,False,Coordination,,Individual,"Barrios, Kingsdorf & Casteix, LLP",Dawn Barrios,1657,,,extracted
new,A0200,F0187,1657-351-2,1657-351,Branch,Turner,True,False,False,Coordination,,Individual,Branch Law Firm,Turner Branch,1657,,,extracted
new,A0201,F0122,1657-351-3,1657-351,Burg,Michael,True,False,False,Coordination,,Individual,Burg Simpson Eldredge Hersh & Jardine,Michael Burg,1657,,,extracted
new,A0074,F0123,1657-351-4,1657-351,Girardi,Thomas,True,False,False,Coordination,,Individual,Girardi and Keese,Thomas Girardi,1657,,,extracted
new,A0739,F0446,1657-351-5,1657-351,Hill,Barry,True,False,False,Coordination,,Individual,"Hill Toriseva & Williams, PLLC",Barry Hill,1657,,,extracted
new,A0006,F0030,1657-351-6,1657-351,Lanier,W.,True,False,False,Coordination,,Individual,The Lanier Law Firm,W. Lanier,1657,,,extracted
new,A0452,F0247,1657-351-7,1657-351,Singleton,W.,True,False,False,Coordination,,Individual,Singleton Law Firm,W. Singleton,1657,,,extracted
new,A0285,F0051,1657-351-8,1657-351,Weiss,Sol,True,False,False,Coordination,,Individual,"Anapol, Schwartz, Weiss, Cohan, Feldman and Smalley, P.C.",Sol Weiss,1657,,,extracted
