MDL_NO,CAPTION,JUDGE,DISTRICT,DATE_FILED,DATE_TRANSFERRED,DATE_TERMINTAED,MASTER_DOCKET,TOTAL_ACTIONS,TYPE,APPOINTMENT_ORDER,APPOINTMENT_ORDER_CONTESTED,PLAINTIFF_LEAD_COUNSEL ,PLAINTIFF_LEAD_COUNSEL_AUTHORITY,PLAINTIFF_LEAD_COUNSEL_DUTIES,PLAINTIFF_LEADERSHIP_STRUCTURE, PLAINTIFF_LEADERSHIP_AUTHORITY ,PLAINTIFF_LEADERSHIP_DUTIES ,PLAINTIFF_LIAISON_COUNSEL ,DEFENSE_LEAD_COUNSEL,DEFENSE_LEADERSHIP_STRUCTURE  ,DEFENSE _LIAISON_COUNSEL ,RULE_23,MCL,LIMIT_NONLEADER_PRACTICE ,FINANCIAL_CONTRIBUTION,LEADERSHIP_COMPENSATION,RECORDKEEPING,COMMENTS_OLD,Notes,Assigned to,Complete,Order_Count,Sum_OU_Create,Sum_OU_Terminate,Net_OUs,YEARS_PENDING,Source_Table
875,875 IN RE: Asbestos Products Liability Litigation (No. VI),"Robreno, Eduardo C.",PAE,1991-01-17,1991-07-29,2006-07-10,2:91-md-875,192106,Products Liability,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,Order in sample vacates prior order and re-establishes leadersihp committees - UNABLE TO PULL FROM DOCKET ON BLOOMBERG,Excluded from study because orders aren't available electronically,,,0,0,0,0,,old
1431,1431 IN RE: Baycol Products Liability Litigation,"Davis, Michael James",MN,2001-08-21,2001-12-18,2002-02-01,0:01-md-1431,9107,Products Liability,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,Order recognizes non-leads; right to go their own way - UNABLE TO PULL FROM DOCKET ON BLOOMBERG ,,David Noll,checked,2,4,0,4,,old
1566,1566 IN RE: Western States Wholesale Natural Gas Antitrust Litigation,"Jones, Robert Clive",NV,2003-07-16,2003-11-06,2003-11-21,2:03-cv-01431,35,Antitrust,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Stipulated order,"There are a lot of appointments in this MDL as plaintiffs got classes certified and class counsel appointments for the purposes of settlements with 1-2 defendants at a time. So there are lots of appointments, but they are generally the same firms appointed to represent the same classes, just for the purposes of settlement with a different defendant. The court also issued separate orders for preliminary and final approval of each settlement.",Robert Vogel,checked,18,17,0,17,,old
1570,"1570 IN RE: Terrorist Attacks on September 11, 2001","Daniels, George B.",NYS,2003-08-21,2003-12-09,,1:03-md-1570,329,Common Disaster,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,,,David Noll,checked,2,3,0,3,,old
1654,"1654 IN RE: Compression Labs, Inc., Patent Litigation",Jeremy D. Fogel,CAN,,2005-02-16 00:00:00,2007-06-05 00:00:00,5:05-md-01654,,Intellectual Property,,,,,,,,,,,,,,,,,,,,,DN/complete/manual,,,,,,2.3,new
1655,1655 IN RE: USF Red Star Inc. Worker Notification Litigation,Petrese B. Tucker,PAE,,2005-02-16 00:00:00,2006-03-14 00:00:00,2:05-md-01655,,,,,,,,,,,,,,,,,,,,,,,DN/complete/no matching orders,,,,,,1.08,new
1656,1656 IN RE: CP Ships Ltd. Securities Litigation,James D. Whittemore,FLM,,2005-02-17 00:00:00,2006-03-03 00:00:00,8:05-md-01656,,Securities,,,,,,,,,,,,,,,,,,,,,DN/complete/manual,,,,,,1.04,new
1657,"1657 IN RE: Vioxx Marketing, Sales Practices and Products Liability Litigation",Eldon E. Fallon,LAE,,2005-02-16 00:00:00,2018-09-20 00:00:00,2:05-md-01657,,Products Liability,,,,,,,,,,,,,,,,,,,,,Complete/already downloaded,,,,,,13.59,new
1658,"1658 IN RE: Merck & Co., Inc., Securities, Derivative & ERISA Litigation",Stanley R. Chesler,NJ,,2005-02-23 00:00:00,2016-09-23 00:00:00,2:05-cv-01151,,Securities,,,,,,,,,,,,,,,,,,,,,DN/complete/manual,,,,,,11.58,new
1659,1659 IN RE: Nortel Networks Corp. Securities Litigation,Loretta A. Preska,NYS,,2005-02-22 00:00:00,2006-12-26 00:00:00,1:05-md-01659,,Securities,,,,,,,,,,,,,,,,,,,,,DN/complete/manual,,,,,,1.84,new
1660,"1660 IN RE: PharmaStem Therapeutics, Inc., Patent Litigation",Gregory Moneta Sleet,DE,,2005-02-16 00:00:00,2010-08-03 00:00:00,"1:05-md-01660, 1:02-cv-00148",,Intellectual Property,,,,,,,,,,,,,,,,,,,,,DN/complete/no matching orders,,,,,,5.46,new
1661,1661 IN RE: Rivastigmine Patent Litigation,Harold Baer Jr,NYS,,2005-02-16 00:00:00,2008-09-25 00:00:00,1:05-md-01661,,Intellectual Property,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,3.61,new
1663,1663 IN RE: Insurance Brokerage Antitrust Litigation,"Cecchi, Claire C.",NJ,2004-11-19,2005-02-17,,2:04-cv-5184,52,Antitrust,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"""This Court expects that all attorneys will hereafter put aside their differences and work in harmony in the best interests of their clients and with the utmost professionalism.""",,David Noll,checked,4,5,0,5,,old
1665,1665 IN RE: Acacia Media Technologies Corp. Patent Litigation,James Ware,CAN,,2005-02-24 00:00:00,2010-05-02 00:00:00,"5:05-md-01665, 5:05-cv-01114",,Intellectual Property,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,5.19,new
1668,"1668 IN RE: Federal National Mortgage Association Securities, Derivative & ERISA Litigation",Richard J. Leon,DC,,2005-05-17 00:00:00,2017-10-19 00:00:00,1:05-mc-00234,,Securities,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,12.42,new
1671,1671 IN RE: Reformulated Gasoline (RFG) Antitrust & Patent Litigation,Christina A. Snyder,CAC,,2005-05-04 00:00:00,2008-12-17 00:00:00,2:05-ml-01671,,Antitrust,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,3.62,new
1672,"1672 IN RE: Express Scripts, Inc., Pharmacy Benefits Management Litigation",Henry Edward Autrey,MOE,,2005-04-29 00:00:00,2015-12-10 00:00:00,4:05-md-01672,,Miscellaneous,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,10.61,new
1673,1673 IN RE: Circular Thermostat Antitrust Litigation,William Haskell Alsup,CAN,,2005-05-03 00:00:00,2006-02-27 00:00:00,"3:05-md-01673, M:05-cv-01673",,,,,,,,,,,,,,,,,,,,,,,Not to be assigned,,,,,,0.82,new
1674,1674 IN RE: Community Bank of Northern Virginia Mortgage Lending Practices Litigation,Arthur J. Schwab,PAW,,2005-04-28 00:00:00,2017-02-09 00:00:00,2:03-cv-00425,,,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,11.78,new
1675,1675 IN RE: ACE Limited Securities Litigation,Timothy J. Savage,PAE,,2005-05-02 00:00:00,2009-06-24 00:00:00,2:05-md-01675,,Securities,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,4.14,new
1677,1677 IN RE: NovaStar Home Mortgage Inc. Mortgage Lending Practices Litigation,William T. Moore Jr,GAS,,2005-04-26 00:00:00,2007-09-18 00:00:00,4:05-cv-01677,,,,,,,,,,,,,,,,,,,,,,BHS manually downloaded electronic records from bloomberg on 6/8,BHS/complete/manual download,,,,,,2.39,new
1682,1682 IN RE: Hydrogen Peroxide Antitrust Litigation,Stewart R. Dalzell,PAE,,2005-06-16 00:00:00,2010-12-07 00:00:00,2:05-cv-00666,,Antitrust,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1684,1684 IN RE: Plastics Additives Antitrust Litigation (No. II),Legrome D. Davis,PAE,,2005-06-16 00:00:00,2012-10-24 00:00:00,"2:05-md-01684, 2:03-cv-02038",,Antitrust,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1686,1686 IN RE: Iraq and Afghanistan Detainees,Thomas F. Hogan,DC,,2005-06-17 00:00:00,2007-03-27 00:00:00,"1:06-mc-00145, 1:05-mc-00267",,Miscellaneous,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1687,1687 IN RE: Ford Motor Co. E-350 Van PL (No. II),Esther Salas,NJ,,2005-06-16 00:00:00,2013-07-15 00:00:00,2:03-cv-04558,,Products Liability,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1688,"1688 IN RE: Pfizer Inc. SEC, DER and ERISA",Laura Taylor Swain,NYS,,2005-06-16 00:00:00,2014-07-16 00:00:00,1:05-md-01688,,Securities,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1689,1689 IN RE: Air Crash Near Woodbury,Charles P. Sifton,NYE,,2005-06-24 00:00:00,2007-09-06 00:00:00,1:05-md-01689,,Air Disaster,,,,,,,,,,,,,,,,,,,,Confirmed no electronic records available on Lexis 6/8/26; BHS confirmed no electronic records on Bloomberg on 6/8,DN/complete/no electronic records avail,,,,,,,new
1695,1695 IN RE: Veeco Instruments Inc. SEC,Colleen McMahon,NYS,,2005-08-22 00:00:00,2008-03-28 00:00:00,1:05-md-01695,,Securities,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1696,"1696 IN RE: Sierra Wireless, Inc., SEC",Sidney H. Stein,NYS,,2005-08-22 00:00:00,2007-05-15 00:00:00,1:05-md-01696,,Securities,,,,,,,,,,,,,,,,,,,,,DN/complete/co-work,,,,,,,new
1698,"1698 IN RE: American General Life & Accident Insurance Co. Retiree Benefits ""ERISA""",Henry Lee Adams Jr.,FLM,,2005-08-17 00:00:00,2009-03-26 00:00:00,3:05-md-01698,,Employment Practices,,,,,,,,,,,,,,,,,,,,,BHS/complete/co-work,,,,,,,new
1699,"1699 IN RE: Bextra and Celebrex Marketing, SP & PL",Charles R. Breyer,CAN,,2005-09-06 00:00:00,2013-04-11 00:00:00,3:05-md-01699,,Sales Practices,,,,,,,,,,,,,,,,,,,,,BHS/complete/co-work,,,,,,,new
