Corpus,Order_No,MDL_No,Docket_No,Date,Judge,Judge_Type,Contested,OU_Create,OU_Terminate,OU_Functions,OU_Duties_to_Nonclients,OU_Plaintiff,OU_Defendant,Order_Types,Appointments_Count,Applications_Solicited,Resolve_Rule_23,IRPA_Duties_to_Clients,Limit_Nonleader_Practice,Rule_23,MCL,MDL Type,Notes,Needs_Motion_Reading,Needs_Signature_Check,Possible_Duplicate,Source_File,Provenance
new,1657-31448,1657,31448,2010-01-08,EF,DJ,False,0,0,False,False,True,False,Management,2,False,False,False,False,False,False,,Pretrial Order No. 45A; unopposed motion appointing additional members to existing Plaintiffs’ Steering Committee for the Ineligible or Not Enrolled Claims.,False,False,,"1657-Vioxx/1657, Doc. 31448, P.T. ORDER 45A Appointing Addtl_ Members to PSC .pdf",extracted
new,1656-6,1656,6,2005-04-05,JDW,DJ,False,0,0,False,False,True,False,LeadCounsel; Communications,3,False,False,False,False,False,False,,,False,False,,1656 IN RE CP Ships Ltd. Securities Litigation/US_DIS_FLMD_8_05md1656_6_ORDER granting re 4 Stipulation regarding lead cou_6_0.pdf,extracted
new,1657-36,1657,36,2005-03-08,EEF,DJ,False,0,0,True,True,False,True,Communications,1,False,False,False,False,False,False,,,False,False,,"1657-Vioxx/1657, Doc. 36, P.T. ORDER 4 Appointing D_s Liaison Csl .pdf",extracted
new,1657-25829,1657,25829,2009-10-22,EEF,DJ,False,0,0,False,False,True,False,Management,1,False,False,False,False,False,False,,,False,False,,"1657-Vioxx/1657, Doc. 25829, P.T. ORDER 44A Pl_s Appointing Adtnl_ Member of Exec. Com.  .pdf",extracted
new,1657-351,1657,351,2005-05-16,EEF,DJ,False,0,0,True,False,,,Coordination,9,False,False,False,False,False,False,,,False,False,,"1657-Vioxx/1657, Doc. 351, P.T. ORDER 10 Appointing State Liaison Committee .pdf",extracted
new,1657-13007,1657,13007,2007-11-20,EEF,DJ,False,1,0,True,False,True,False,Fees,9,False,False,False,False,False,False,,,False,False,,"1657-Vioxx/1657, Doc. 13007, P.T. ORDER 32 Appointment of Allocation Committee .pdf",extracted
new,1657-24522,1657,24522,2009-09-30,EEF,DJ,False,0,0,True,False,,,Communications,1,False,False,False,False,False,False,,"Motion was unopposed. Header also lists Magistrate Judge Knowles, but the order is signed only by District Judge Eldon E. Fallon.",False,False,,"1657-Vioxx/1657, Doc. 24522, P.T. ORDER 52 Appointing Com.Ben.Fee Object. Committee .pdf",extracted
new,1657-17,1657,17,2005-02-28,EEF,DJ,True,1,0,True,True,True,False,Communications,1,,False,False,False,False,,,,False,False,,"1657-Vioxx/1657, Doc. 17, P.T. ORDER 2 Appointing Pl Liaison Csl .pdf",extracted
new,1657-423,1657,423,2005-06-07,EEF,DJ,False,1,0,False,False,True,False,ClassCounsel,0,False,True,False,False,True,False,,"Order appoints the members of the Plaintiffs Steering Committee as interim class counsel, but the PSC members are not named in this text.",True,False,,"1657-Vioxx/1657, Doc. 423 and 427, ORDER Appointing Interim Class Csl .pdf",extracted
new,1657-20888,1657,20888,2009-07-13,EEF,DJ,True,0,0,True,,True,False,Management; LeadCounsel,2,False,False,,,False,,,,False,True,,"1657-Vioxx/1657, Doc. 20888, P.T. ORDER 45 Appointment of Plaintiffs_ Steering Committee for the remaining Personal Injury Cases.pdf",extracted
new,1657-65267,1657,65267,2015-09-23,EEF,DJ,False,1,0,True,True,True,False,Fees,6,False,False,False,False,False,False,,,False,True,,"1657-Vioxx/1657, Doc. 65267, P.T. ORDER 59 Appointing CB Fee Committee .pdf",extracted
new,1657-61974,1657,61974,2011-02-16,EEF,DJ,False,0,0,False,False,True,False,LeadCounsel; Communications,6,False,False,False,False,False,False,,The order states the Court received no opposition to the appointments.,False,False,,1657-Vioxx/021611.or.pdf,extracted
new,1657-18856,1657,18856,2009-05-19,EEF,DJ,False,1,0,True,False,True,False,Bellwether; Trial,16,False,False,True,False,False,False,,,False,True,,"1657-Vioxx/1657, Doc. 18856, P.T. ORDER 41 Appointing Bellweather Trial Committee .pdf",extracted
new,1657-13365,1657,13365,2008-02-12,EEF,DJ,False,0,0,True,True,True,False,ProSe,1,False,False,False,False,False,False,,,False,True,,1657-Vioxx/OrderAppointing (1).pdf,extracted
new,,1657,,2009-10-21,EF,DJ,False,0,0,False,False,True,False,Management,1,False,False,False,False,False,False,,Appointment of an additional member to the existing Government Actions Plaintiffs’ Case Management Executive Committee; order states the recommendation was unopposed and the proposal was agreed.,False,False,,1657-Vioxx/PTO44A.pdf,extracted
new,1657-246,1657,246,2005-04-08,EEF,DJ,False,0,0,True,True,False,True,LeadCounsel; Management; Communications,6,False,False,False,True,False,False,,,False,False,,"1657-Vioxx/1657, Doc. 246, P.T. ORDER 7 Appointing D_s Steering .pdf",extracted
new,1657-21427,1657,21427,2010-01-08,EF,DJ,False,0,0,False,False,True,False,Management,2,False,False,False,False,False,False,,,False,False,,1657-Vioxx/PTO45A.pdf,extracted
new,,1657,,2009-07-13,EEF,DJ,False,0,0,True,,True,False,Management; LeadCounsel,2,False,False,,,False,False,,,False,True,,1657-Vioxx/PTO45.pdf,extracted
new,1656-107,1656,107,2008-03-10,JDW,DJ,False,0,0,True,True,True,False,LeadCounsel; ClassCounsel; Settlement,4,False,True,False,False,True,False,,Order preliminarily approves settlement and certifies a settlement class; it identifies named attorneys as Lead Counsel for Lead Plaintiffs and the Class.,False,False,,1656 IN RE CP Ships Ltd. Securities Litigation/US_DIS_FLMD_8_05md1656_107_ORDER granting 105 Motion to Preliminarily Approve_107_0.pdf,extracted
new,,1657,,2009-05-19,EEF,DJ,False,1,0,True,False,True,False,Bellwether; Trial,16,False,False,True,False,False,False,,"Magistrate Judge Knowles is listed in the caption/header, but the order is signed by District Judge Fallon.",False,True,,1657-Vioxx/PTO41.pdf,extracted
new,,1657,,2011-08-17,EEF,DJ,False,1,0,True,True,True,False,Fees,6,True,False,False,False,False,False,,"Pretrial Order No. 57. Header mentions Magistrate Judge Knowles, but the order is signed only by District Judge Eldon E. Fallon.",False,True,,1657-Vioxx/PTO57 (1).pdf,extracted
new,1657-64411,1657,64411,2013-05-20,EEF,DJ,False,1,0,True,True,True,False,ClassCounsel,1,False,True,False,False,True,True,,,False,True,,1657-Vioxx/Poole order.pdf,extracted
new,1657-20770,1657,20770,2009-07-09,EF,DJ,False,1,0,True,True,True,False,LeadCounsel; Management; Communications,15,False,False,False,False,False,False,,,False,False,,"1657-Vioxx/1657, Doc. 20770, P.T. ORDER 44 Appointing Gov. Action Committee .pdf",extracted
new,1657-24216,1657,24216,2009-09-30,EEF,DJ,False,1,0,True,False,,,Communications,1,False,False,False,False,False,False,,Motion described as unopposed.,False,True,,1657-Vioxx/pto52.pdf,extracted
new,,1657,,2008-12-19,,DJ,False,1,0,True,,True,False,Fees,1,False,False,True,False,False,False,,Order signed by a United States District Judge; header identifies Judge Fallon.,False,True,,1657-Vioxx/TulaneClinic.pdf,extracted
new,1657-65267,1657,65267,2015-09-23,EEF,DJ,False,1,0,True,False,True,False,Fees,6,False,False,False,False,False,False,,,False,True,,1657-Vioxx/PTO59.pdf,extracted
new,1657-13007,1657,13007,2007-11-20,EEF,DJ,False,1,0,True,False,True,False,Fees,9,False,False,False,False,False,False,,,False,True,,1657-Vioxx/vioxx.pto32 (1).pdf,extracted
new,1657-245,1657,245,2005-04-08,EEF,DJ,True,1,0,True,True,True,False,LeadCounsel; Management; Communications,13,False,False,True,True,False,False,,,False,True,,"1657-Vioxx/1657, Doc. 245, P.T. ORDER 6 Appointing PSC .pdf",extracted
new,,1657,,2005-06-07,EEF,DJ,False,1,0,False,False,True,False,ClassCounsel,0,False,True,False,False,True,False,,"Order appoints the members of the existing Plaintiffs Steering Committee as interim class counsel, but does not name the individual PSC members. Defendants did not oppose the motion.",True,False,,1657-Vioxx/vioxx_order14.pdf,extracted
new,,1657,,2005-03-08,EEF,DJ,False,0,0,True,True,False,True,Communications,1,False,False,False,False,False,False,,,False,False,,1657-Vioxx/vioxxpto4.pdf,extracted
